title,slug,provider,provider_type,state,level,caste,gender,amount_annual,amount_min,amount_description,benefits,income_limit,min_marks,age_limit,docs_needed,apply_url,deadline,step_guide,selection,renewal,helpline,intro_seo,faq_json,tags,thumbnail_url
"Maharashtra Rajarshi Chhatrapati Shahu Maharaj Scholarship","maharashtra-rajarshi-shahu","Government of Maharashtra - Social Justice Department","State Government","Maharashtra","UG","[""OBC"",""SC"",""ST""]","All","50000","30000","₹30,000-50,000 for professional courses","Full tuition fee waiver, Maintenance allowance, Book grant","800000","60","Under 30 years","Caste Certificate
Income Certificate
Marksheet
Admission Proof
Aadhaar","https://mahadbtmahait.gov.in","2025-08-31","1. Register on MahaDBT 2. Fill detailed form 3. Upload all documents 4. Submit and track","Merit-cum-means, preference to professional courses","Yes, renewable for course duration","022-22625651","Rajarshi Chhatrapati Shahu Maharaj Scholarship provides ₹30,000-50,000 for OBC/SC/ST students in professional courses with 60%+ marks.","[{""q"":""What are professional courses?"",""a"":""Engineering, Medical, MBA, Law, Architecture, etc.""},{""q"":""Is this renewable?"",""a"":""Yes, renewable annually for the entire course duration""}]","",""
"Telangana Post-Matric SC Scholarship","telangana-postmatric-sc","Government of Telangana - BC Welfare Department","State Government","Telangana","Post-Matric","[""SC""]","All","16000","2000","₹2,000-16,000 based on course type","Tuition fees, Maintenance allowance, Book allowance, Hostel charges","200000","45","No age limit","Aadhaar
SC Certificate
Income Certificate
Marksheet
Bank Details
Bonafide","https://telanganaepass.cgg.gov.in","2025-10-31","1. Register on TS ePass 2. Fill application 3. Upload documents 4. Submit","Need-based, automatic for eligible students","Yes","040-23390228","Telangana Post-Matric SC Scholarship provides ₹2,000-16,000 annually for SC students with 45% marks and family income below ₹2 lakh.","[{""q"":""What is TS ePass?"",""a"":""Telangana State Electronic Pass - unified portal for all scholarships""},{""q"":""When does the portal open?"",""a"":""Usually in August-September""}]","",""
"Telangana Post-Matric BC Scholarship","telangana-postmatric-bc","Government of Telangana - BC Welfare Department","State Government","Telangana","Post-Matric","[""OBC""]","All","15000","1800","₹1,800-15,000 for BC students","Tuition fees, Maintenance allowance","200000","40","No limit","BC Certificate
Income Certificate
Marksheet
Aadhaar
Bank Details","https://telanganaepass.cgg.gov.in","2025-10-31","1. Register on TS ePass 2. Fill form 3. Upload docs 4. Submit","Need-based, automatic approval","Yes","040-23390228","Telangana Post-Matric BC Scholarship for backward class students provides ₹1,800-15,000 annually.","[{""q"":""What is BC category?"",""a"":""Backward Classes - similar to OBC in other states""}]","",""
"Telangana Minority Welfare Scholarship","telangana-minority-welfare","Government of Telangana - Minority Welfare Department","State Government","Telangana","Post-Matric","[""Minority""]","All","14000","1500","₹1,500-14,000 for minority students","Educational support for minority communities","200000","40","No limit","Minority Certificate
Income Certificate
Marksheet
Aadhaar","https://telanganaepass.cgg.gov.in","2025-11-15","1. Register 2. Fill form 3. Upload docs 4. Submit","Need-based","Yes","040-23391200","Telangana Minority Welfare Scholarship provides ₹1,500-14,000 for minority community students.","[{""q"":""Which communities?"",""a"":""Muslim, Christian, Sikh, Buddhist, Jain, Parsi""}]","",""
"Andhra Pradesh Post-Matric SC Scholarship","andhra-pradesh-postmatric-sc","Government of Andhra Pradesh - BC Welfare Department","State Government","Andhra Pradesh","Post-Matric","[""SC""]","All","17000","2200","₹2,200-17,000 based on course","Tuition fees, Maintenance allowance, Book grant, Hostel charges","250000","45","No age limit","Aadhaar
SC Certificate
Income Certificate
Marksheet
Bank Details
Bonafide","https://nsp.gov.in","2025-10-31","1. Register on NSP 2. Fill AP scholarship form 3. Upload documents 4. Submit","Need-based, automatic for eligible students","Yes","0863-2340142","Andhra Pradesh Post-Matric SC Scholarship provides ₹2,200-17,000 annually for SC students with 45% marks.","[{""q"":""Which portal to use?"",""a"":""National Scholarship Portal (NSP) for AP scholarships""}]","",""
"Andhra Pradesh Post-Matric BC Scholarship","andhra-pradesh-postmatric-bc","Government of Andhra Pradesh - BC Welfare Department","State Government","Andhra Pradesh","Post-Matric","[""OBC""]","All","16000","2000","₹2,000-16,000 for BC students","Tuition fees, Maintenance allowance","200000","40","No limit","BC Certificate
Income Certificate
Marksheet
Aadhaar
Bank Details","https://nsp.gov.in","2025-10-31","1. Register on NSP 2. Fill form 3. Upload docs 4. Submit","Need-based","Yes","0863-2340142","Andhra Pradesh Post-Matric BC Scholarship for backward class students provides ₹2,000-16,000 annually.","[{""q"":""What is BC?"",""a"":""Backward Classes - equivalent to OBC""}]","",""
"Andhra Pradesh Minority Welfare Scholarship","andhra-pradesh-minority-welfare","Government of Andhra Pradesh - Minority Welfare Department","State Government","Andhra Pradesh","Post-Matric","[""Minority""]","All","13000","1500","₹1,500-13,000 for minority students","Educational support for minority communities","200000","40","No limit","Minority Certificate
Income Certificate
Marksheet
Aadhaar","https://nsp.gov.in","2025-11-15","1. Register on NSP 2. Fill form 3. Upload docs 4. Submit","Need-based","Yes","0863-2340200","Andhra Pradesh Minority Welfare Scholarship provides ₹1,500-13,000 for minority community students.","[{""q"":""Which communities?"",""a"":""Muslim, Christian, Sikh, Buddhist, Jain, Parsi""}]","",""
"Andhra Pradesh NTR Vidyonnathi Scheme","andhra-pradesh-ntr-vidyonnathi","Government of Andhra Pradesh - Education Department","State Government","Andhra Pradesh","UG","[""All""]","All","30000","20000","₹20,000-30,000 for professional courses","Tuition fee reimbursement for professional courses","500000","60","Under 30 years","Entrance Exam Rank
Income Certificate
Admission Proof
Aadhaar","https://nsp.gov.in","2025-09-15","1. Get admission in professional course 2. Apply on NSP 3. Upload documents 4. Submit","Merit-cum-means, entrance exam rank considered","Yes, subject to 60% marks","0863-2340300","NTR Vidyonnathi Scheme provides ₹20,000-30,000 tuition fee reimbursement for professional courses in AP.","[{""q"":""What is covered?"",""a"":""Full or partial tuition fee reimbursement based on course and college""},{""q"":""Which courses?"",""a"":""Engineering, Medical, MBA, MCA, Pharmacy, etc.""}]","",""
"Andhra Pradesh Jagananna Vidya Deevena","andhra-pradesh-jagananna-vidya-deevena","Government of Andhra Pradesh - Education Department","State Government","Andhra Pradesh","UG","[""SC"",""ST"",""OBC"",""Minority""]","All","20000","15000","₹15,000-20,000 tuition fee reimbursement","Complete tuition fee reimbursement for eligible students","250000","40","Under 25 years","Caste Certificate
Income Certificate
Fee Receipt
Aadhaar
Bank Details","https://nsp.gov.in","2025-11-30","1. Register on NSP 2. Fill Jagananna Vidya Deevena form 3. Upload fee receipt 4. Submit","Need-based, automatic for eligible students","Yes","0863-2340400","Jagananna Vidya Deevena provides ₹15,000-20,000 tuition fee reimbursement for SC/ST/OBC/Minority students in AP.","[{""q"":""What is reimbursed?"",""a"":""Full tuition fee up to ₹20,000 per year""},{""q"":""Who is eligible?"",""a"":""SC/ST/OBC/Minority students with family income below ₹2.5 lakh""}]","",""
"Bharti Airtel Scholarship Program 2025-2026","bharti-airtel-scholarship-program","Bharti Foundation","Corporate","All India","UG","[""All""]","All (Preference to girls, persons with disabilities, single/no parents, transgender)","","50000","100% tuition fees + 100% hostel and mess fees + New laptop in first year. Covers entire course duration (4-5 years)","100% annual tuition fees for entire course duration (4-5 years), 100% hostel and mess fees, New laptop in first year, Mentorship and career guidance, Renewable annually","850000","","First year students only (2025-2026 academic year)","Aadhaar/PAN/Driving License
Admission Proof
Class 12 Marksheet
JEE/University Entrance Scorecard
Family Income Proof
Bank Account Details (Aadhaar-linked)
Institution Bank Details
Passport Photo
Statement of Purpose
Hostel/PG Rent Receipts (if applicable)","https://www.buddy4study.com","2025-07-31","1. Visit Buddy4Study website 2. Click 'Apply Now' for Bharti Airtel Scholarship 3. Login or register 4. Fill application form with personal and academic details 5. Upload all required documents (Aadhaar, admission proof, Class 12 marksheet, entrance exam scorecard, income proof, bank details, SOP) 6. Submit application before July 31, 2025 7. Track application status online","Merit-cum-means based selection. Preference given to female candidates, persons with disabilities, students with single/no parents, and transgender individuals. Must maintain minimum CGPA 6.0 and 75% attendance for renewal","Yes, renewable for entire course duration (4-5 years) subject to maintaining CGPA 6.0 and 75% attendance","Managed through Buddy4Study platform. Check Buddy4Study website for helpline","Bharti Airtel Scholarship 2025-2026 provides 100% tuition fees, hostel charges, and a free laptop for meritorious engineering students in India's top 50 NIRF-ranked institutions. Apply by July 31, 2025 with family income below ₹8.5 lakh.","Q: Who is eligible? A: First-year engineering students in top 50 NIRF-ranked institutions with family income below ₹8.5 lakh. Q: Is it renewable? A: Yes, renewable for entire course duration (4-5 years) with minimum CGPA 6.0 and 75% attendance. Q: What is covered? A: 100% tuition fees, hostel/mess fees, and a laptop in first year. Q: Can I apply if I'm in a private institution? A: Yes, if it's in top 50 NIRF rankings.","[""corporate"",""engineering"",""technology"",""nirf"",""laptop grant"",""mentorship""]",""
"Sitaram Jindal Foundation Scholarship 2026","sitaram-jindal-foundation-scholarship","Sitaram Jindal Foundation","Corporate","All India","Class 11-12, ITI, Diploma, UG, PG","[""All""]","All (Lower marks requirement for girls)","","10000","Merit-cum-means based scholarship. Amount varies by course level and category. Specific amounts not publicly disclosed","Financial assistance for tuition and educational expenses. Renewable annually with 5% relaxation in marks for renewal applicants. Supports students in government, government-aided, and affordable private institutions","","","Generally not above 30 years","Academic certificates (Class 7-8 marksheets for Class 11
previous qualifying exam marksheets)
Income Certificate (not more than 2 years old)
School/College Bonafide Certificate
Bank Account details
Aadhaar
Residential proof","https://www.sitaramjindalfoundation.org","Typically September-October","1. Visit Sitaram Jindal Foundation official website at www.sitaramjindalfoundation.org 2. Check eligibility criteria for your state and course level 3. Register on the scholarship portal 4. Fill application form with personal, academic, and family details 5. Upload required documents (marksheets, income certificate, bonafide, bank details, Aadhaar) 6. Submit application before deadline 7. Track application status","Merit-cum-means based selection. State-specific and gender-specific mark requirements. Preference to students in government and government-aided institutions. Verification by foundation authorities","Yes, renewable annually with 5% relaxation in marks for renewal applicants","Email: scholarship@sitaramjindalfoundation.org, Phone: +91-80-2371-7777/78/79/80, Address: Jindal Nagar, Tumkur Road, Bengaluru 560073","Sitaram Jindal Foundation Scholarship 2026 supports meritorious students from Class 11 to postgraduate levels with merit-cum-means based financial aid. Apply with family income below ₹4 lakh (salaried) or ₹2.5 lakh (others).","Q: Who is eligible? A: Students from Class 11 to PG with required marks and family income below limits. Q: Are marks requirements different for girls? A: Yes, girls have 5% lower marks requirement. Q: Is it renewable? A: Yes, renewable annually with 5% relaxation in marks. Q: What is the income limit? A: ₹4 lakh for salaried, ₹2.5 lakh for others.","[""corporate"",""merit-cum-means"",""class 11-pg"",""state-specific marks"",""renewal available""]",""
"HDFC Bank Parivartan's Educational Crisis Scholarship Support (ECSS) Programme 2026-27","hdfc-bank-parivartan-ecss-scholarship","HDFC Bank (Parivartan)","Corporate","All India","Class 1-12, Diploma, ITI, Polytechnic, UG, PG","[""All""]","All","","15000","Scholarship amount varies by education level from ₹15,000 to ₹75,000. Covers tuition, books, and living expenses","Financial aid from ₹15,000 to ₹75,000 based on education level. Covers tuition fees, books, and living expenses. Helps students at risk of dropping out due to financial crises","250000","","No specific age limit (Class 1 to PG students)","Passport-size photograph
Previous year marksheets
Identity proof (Aadhaar/Voter ID/Driving License)
Current year admission proof
Income proof (from Gram Panchayat/Ward Counsellor/Sarpanch/SDM/DM/CO/Tehsildar or affidavit)
Bank passbook or cancelled cheque
Proof of personal/family crisis (if applicable - death certificate
job loss letter
medical report)","https://parivartanecss.com","Typically announced annually","1. Visit parivartanecss.com or Buddy4Study website 2. Click 'Apply Now' 3. Login or register 4. Navigate to Parivartan ECSS Scholarship 2025-26 application form 5. Click 'Start Application' 6. Fill all required details (personal, academic, family income, crisis details if applicable) 7. Upload documents (photo, marksheets, ID proof, admission proof, income proof, bank details, crisis proof if applicable) 8. Accept Terms and Conditions 9. Preview and verify details 10. Submit application","Merit-cum-need based selection with 55% minimum marks. Preference given to students who have faced significant personal or family crisis within last 3 years impacting their education","Not specified (typically one-time or annual reapplication required)","Check Buddy4Study website or parivartanecss.com for helpline contact","HDFC Bank Parivartan ECSS Scholarship 2026-27 provides ₹15,000 to ₹75,000 for meritorious and financially vulnerable students from Class 1 to postgraduate levels. Preference to students facing personal or family crises. Apply with 55% marks and family income below ₹2.5 lakh.","Q: Who is eligible? A: Students from Class 1 to PG with 55%+ marks and family income below ₹2.5 lakh. Q: What is the scholarship amount? A: ₹15,000 to ₹75,000 depending on education level. Q: Is crisis proof mandatory? A: No, but preference is given to crisis-affected students. Q: What crises are considered? A: Death in family, job loss, medical emergencies, natural disasters, etc.","[""corporate"",""crisis support"",""class 1-pg"",""need-based"",""all streams""]",""
